VDIODO,IDIODO
-0.34,0.003962264
-0.34,0.003962264
-0.34,0.003962264
-0.34,0.003773585
-0.34,0.003584906
-0.34,0.003584906
-0.34,0.003584906
-0.34,0.003584906
-0.34,0.003584906
-0.34,0.003396226
-0.34,0.003396226
-0.34,0.003396226
-0.34,0.003396226
-0.34,0.003207547
-0.34,0.003207547
-0.36,0.003207547
-0.36,0.002830189
-0.36,0.002830189
-0.36,0.002830189
-0.36,0.002830189
-0.36,0.002830189
-0.36,0.002830189
-0.36,0.002830189
-0.36,0.002641509
-0.38,0.002641509
-0.38,0.002641509
-0.38,0.002641509
-0.38,0.002641509
-0.38,0.002641509
-0.38,0.00245283
-0.38,0.00245283
-0.38,0.00245283
-0.38,0.00245283
-0.38,0.002264151
-0.38,0.002264151
-0.38,0.002075472
-0.38,0.002075472
-0.38,0.002075472
-0.38,0.002075472
-0.38,0.002075472
-0.38,0.002075472
-0.38,0.002075472
-0.38,0.002075472
-0.38,0.001886792
-0.38,0.001886792
-0.4,0.001698113
-0.4,0.001698113
-0.4,0.001698113
-0.4,0.001698113
-0.4,0.001698113
-0.4,0.001698113
-0.4,0.001509434
-0.4,0.001509434
-0.4,0.001509434
-0.4,0.001320755
-0.4,0.001320755
-0.4,0.001320755
-0.4,0.001320755
-0.4,0.001320755
-0.4,0.001320755
-0.4,0.001320755
-0.42,0.001132075
-0.42,0.001132075
-0.42,0.001132075
-0.42,0.000943396
-0.42,0.000943396
-0.42,0.000943396
-0.42,0.000943396
-0.42,0.000943396
-0.42,0.000754717
-0.42,0.000754717
-0.42,0.000566038
-0.42,0.000566038
-0.42,0.000566038
-0.42,0.000566038
-0.42,0.000566038
-0.42,0.000566038
-0.42,0.000566038
-0.42,0.000566038
-0.42,0.000377358
-0.42,0.000377358
-0.42,0.000377358
-0.42,0.000377358
-0.42,0.000188679
-0.44,0.000188679
-0.44,0.000188679
-0.44,0.000188679
-0.44,0.000188679
-0.44,0
-0.44,0
-0.44,-0.000188679
-0.44,-0.000188679
-0.44,-0.000188679
-0.46,-0.000188679
-0.46,-0.000188679
-0.46,-0.000188679
-0.46,-0.000188679
-0.46,-0.000188679
-0.46,-0.000377358
-0.46,-0.000377358
-0.46,-0.000377358
-0.46,-0.000566038
-0.46,-0.000566038
-0.46,-0.000566038
-0.46,-0.000566038
-0.46,-0.000754717
-0.46,-0.000943396
-0.46,-0.000943396
-0.46,-0.000943396
-0.46,-0.000943396
-0.46,-0.000943396
-0.46,-0.000943396
-0.46,-0.000943396
-0.46,-0.001132075
-0.46,-0.001132075
-0.46,-0.001132075
-0.46,-0.001132075
-0.46,-0.001132075
-0.48,-0.001132075
-0.48,-0.001320755
-0.48,-0.001320755
-0.48,-0.001320755
-0.48,-0.001320755
-0.48,-0.001320755
-0.48,-0.001320755
-0.48,-0.001509434
-0.48,-0.001698113
-0.48,-0.001698113
-0.48,-0.001698113
-0.48,-0.001698113
-0.48,-0.001698113
-0.5,-0.001886792
-0.5,-0.001886792
-0.5,-0.001886792
-0.5,-0.001886792
-0.5,-0.002075472
-0.5,-0.002075472
-0.5,-0.002075472
-0.5,-0.002075472
-0.5,-0.002075472
-0.5,-0.002075472
-0.5,-0.002264151
-0.5,-0.002264151
-0.5,-0.00245283
-0.5,-0.00245283
-0.5,-0.00245283
-0.5,-0.00245283
-0.52,-0.00245283
-0.52,-0.00245283
-0.52,-0.00245283
-0.54,-0.002641509
-0.54,-0.002641509
-0.54,-0.002830189
-0.54,-0.002830189
-0.54,-0.002830189
